Combination Name,algorithm,train_split,test_split,lambda,k,MAE,RMSE,Precision,Recall
"Name_k_faction_sim_Split_(0.9, 0.1)_K_5_Lambda_0.1",k_faction_sim,0.9,0.1,0.1,5,0.8314146955663962,1.0554400118927134,0.588289322617681,0.6903091027698759
"Name_cn_sim_Split_(0.9, 0.1)_K_5_Lambda_0.1",cn_sim,0.9,0.1,0.1,5,0.8008315975588692,1.0173563684048612,0.6032146957520091,0.7057735470374866
"Name_k_faction_sim_Split_(0.9, 0.1)_K_5_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,5,0.8297312971798372,1.0545145051710012,0.5846153846153846,0.68894493931002
"Name_cn_sim_Split_(0.9, 0.1)_K_5_Lambda_0.2",cn_sim,0.9,0.1,0.2,5,0.8022743839079348,1.0182977101813042,0.6011481056257176,0.7039485466041155
"Name_k_faction_sim_Split_(0.9, 0.1)_K_5_Lambda_0.3",k_faction_sim,0.9,0.1,0.3,5,0.8303636830400098,1.056121105923291,0.5848450057405281,0.6895096629006863
"Name_cn_sim_Split_(0.9, 0.1)_K_5_Lambda_0.3",cn_sim,0.9,0.1,0.3,5,0.8051210420092648,1.0201756730462217,0.600459242250287,0.7015571703485374
"Name_k_faction_sim_Split_(0.9, 0.1)_K_5_Lambda_0.4",k_faction_sim,0.9,0.1,0.4,5,0.8310885830774399,1.0557203404324198,0.5855338691159586,0.6889105243782504
"Name_cn_sim_Split_(0.9, 0.1)_K_5_Lambda_0.4",cn_sim,0.9,0.1,0.4,5,0.8104122815503392,1.025610501424168,0.5958668197474167,0.6980396802258944
"Name_k_faction_sim_Split_(0.9, 0.1)_K_5_Lambda_0.5",k_faction_sim,0.9,0.1,0.5,5,0.8367005467444051,1.0619073794976193,0.5876004592422504,0.690773440345644
"Name_cn_sim_Split_(0.9, 0.1)_K_5_Lambda_0.5",cn_sim,0.9,0.1,0.5,5,0.8143330560440405,1.028220484005372,0.5947187141216992,0.6967581199374365
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_5",KNN-Cosine,0.9,0.1,N/A,5,0.8188646579202327,1.0347683822070497,0.5793340987370839,0.6816812978768225
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_5",KNN-Pearson,0.9,0.1,N/A,5,0.8091251624420194,1.028220109765921,0.5892078071182549,0.6921416950817667
"Name_k_faction_sim_Split_(0.9, 0.1)_K_10_Lambda_0.1",k_faction_sim,0.9,0.1,0.1,10,0.8120646719002698,1.0338418530747666,0.5931113662456946,0.696006005455321
"Name_cn_sim_Split_(0.9, 0.1)_K_10_Lambda_0.1",cn_sim,0.9,0.1,0.1,10,0.7825729044092721,0.9942018036955517,0.6043628013777267,0.7056558984246654
