Combination Name,algorithm,train_split,test_split,lambda,k,MAE,RMSE,Precision,Recall
"Name_k_faction_sim_Split_(0.9, 0.1)_K_5_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,5,0.8297312971798372,1.0545145051710012,0.5846153846153846,0.68894493931002
"Name_cn_sim_Split_(0.9, 0.1)_K_5_Lambda_0.2",cn_sim,0.9,0.1,0.2,5,0.8022743839079348,1.0182977101813042,0.6011481056257176,0.7039485466041155
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_5",KNN-Cosine,0.9,0.1,N/A,5,0.8188646579202327,1.0347683822070497,0.5793340987370839,0.6816812978768225
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_5",KNN-Pearson,0.9,0.1,N/A,5,0.8091251624420194,1.028220109765921,0.5892078071182549,0.6921416950817667
"Name_k_faction_sim_Split_(0.9, 0.1)_K_10_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,10,0.8123969579291296,1.0334041759438757,0.5919632606199772,0.6953409734328052
"Name_cn_sim_Split_(0.9, 0.1)_K_10_Lambda_0.2",cn_sim,0.9,0.1,0.2,10,0.7837678897087196,0.9949968873790338,0.6029850746268657,0.7028791407291596
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_10",KNN-Cosine,0.9,0.1,N/A,10,0.7870450451464435,0.9941511861629481,0.592881745120551,0.6950108893484156
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_10",KNN-Pearson,0.9,0.1,N/A,10,0.7749285861519637,0.9876921932586279,0.6036739380022962,0.7017229106614965
"Name_k_faction_sim_Split_(0.9, 0.1)_K_20_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,20,0.8083953674789471,1.0285233996081045,0.5926521239954077,0.695403846401585
"Name_cn_sim_Split_(0.9, 0.1)_K_20_Lambda_0.2",cn_sim,0.9,0.1,0.2,20,0.7789890545016258,0.9868588897073125,0.6096440872560276,0.7081570115272007
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_20",KNN-Cosine,0.9,0.1,N/A,20,0.771568945532894,0.974357407999199,0.6034443168771527,0.7061913985776196
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_20",KNN-Pearson,0.9,0.1,N/A,20,0.7588969118668395,0.9677091227688331,0.6082663605051665,0.7084598141907955
"Name_k_faction_sim_Split_(0.9, 0.1)_K_30_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,30,0.8085791826412273,1.0283542266155254,0.5931113662456946,0.6961740382359694
"Name_cn_sim_Split_(0.9, 0.1)_K_30_Lambda_0.2",cn_sim,0.9,0.1,0.2,30,0.7782562509326408,0.9863535751532159,0.6082663605051665,0.7073726045188353
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_30",KNN-Cosine,0.9,0.1,N/A,30,0.7661611641833023,0.9674416256896587,0.6121699196326063,0.7129290116161288
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_30",KNN-Pearson,0.9,0.1,N/A,30,0.7539710643717381,0.9620375006447516,0.6146957520091849,0.7110836516422661
"Name_k_faction_sim_Split_(0.9, 0.1)_K_40_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,40,0.809258438432329,1.0286488817398434,0.5944890929965556,0.6964206203953733
"Name_cn_sim_Split_(0.9, 0.1)_K_40_Lambda_0.2",cn_sim,0.9,0.1,0.2,40,0.7789344640270589,0.9870965942985163,0.6084959816303099,0.707048377951109
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_40",KNN-Cosine,0.9,0.1,N/A,40,0.764315489729234,0.9669216601854508,0.6140068886337544,0.7136585201203474
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_40",KNN-Pearson,0.9,0.1,N/A,40,0.7518541497901754,0.9598169438528805,0.6117106773823191,0.7093197219938809
"Name_k_faction_sim_Split_(0.9, 0.1)_K_50_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,50,0.8098912225101165,1.0292010268917617,0.5912743972445464,0.6933765662548872
"Name_cn_sim_Split_(0.9, 0.1)_K_50_Lambda_0.2",cn_sim,0.9,0.1,0.2,50,0.7801255140710804,0.988219809831565,0.6064293915040184,0.7056869953612535
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_50",KNN-Cosine,0.9,0.1,N/A,50,0.7633548922621057,0.9657802259011188,0.6130884041331802,0.7120570338938671
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_50",KNN-Pearson,0.9,0.1,N/A,50,0.750612008461847,0.9583372213682605,0.6163030998851895,0.7116672560227055
"Name_k_faction_sim_Split_(0.8, 0.2)_K_5_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,5,0.8297333801932733,1.056529287687216,0.6825945945945947,0.5075592824345561
"Name_cn_sim_Split_(0.8, 0.2)_K_5_Lambda_0.2",cn_sim,0.8,0.2,0.2,5,0.806636040615347,1.022975781424317,0.6886486486486486,0.5128959130642043
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_5",KNN-Cosine,0.8,0.2,N/A,5,0.8148426117056556,1.0315363791885717,0.6583783783783784,0.49597663800289304
